-0.0119701	3.23198	-0.00332549	0.897894	-0.0119701	3.23198	-0.0353	3.1982	-0.1409	0.99
-0.245893	3.78327	-0.292272	0.663394	-0.236051	3.77773	-0.2519	3.9662	-0.3827	0.9239
-0.605705	4.52243	-0.342292	0.352128	-0.650448	4.81396	-0.6526	4.6562	-0.6004	0.7997
-1.15803	5.30284	-0.814994	1.07973	-1.23517	5.53905	-1.2124	5.2248	-0.7804	0.6252
-1.91483	5.86897	-0.865205	0.0272777	-1.96999	6.04153	-1.896	5.6363	-0.9114	0.4115
-2.44464	6.17018	-0.733384	0.898055	-2.37752	6.04528	-2.6604	5.8649	-0.9851	0.1719
-3.42881	5.94544	-1.394	-1.00571	-3.30952	5.83142	-3.4577	5.8963	-0.9969	-0.0785
-4.17464	5.64201	-0.722018	0.000355536	-4.16367	5.67588	-4.2377	5.7283	-0.9461	-0.3239
-4.95343	5.71255	-0.716666	-0.564668	-5.25953	6.03309	-4.9515	5.3717	-0.8358	-0.549
-5.11016	4.9976	-0.187749	-0.94728	-4.92144	4.8114	-5.5541	4.8487	-0.673	-0.7396
-6.03964	4.20344	-1.35394	-1.14796	-6.32975	4.32385	-6.0078	4.1923	-0.4679	-0.8838
-6.8543	3.59102	-0.400327	-0.684927	-7.03188	3.68408	-6.284	3.4438	-0.2335	-0.9724
-6.76174	2.435	-0.176232	-1.47055	-6.26434	2.28945	-6.3653	2.65	0.0157	-0.9999
-6.71067	2.21471	0.222481	0.279829	-6.708	2.24153	-6.2467	1.861	0.2639	-0.9646
-6.39494	1.10474	0.555368	-2.12654	-6.20998	1.1364	-5.9355	1.1262	0.4954	-0.8686
-6.1215	0.783737	-0.0977315	0.502299	-5.96202	0.825546	-5.4515	0.4919	0.6959	-0.7181
-5.40011	-0.172482	0.469942	-1.41539	-4.7183	-0.00609896	-4.8249	-0.002	0.8526	-0.5225
-4.47934	-0.18725	1.2738	0.482162	-4.19045	-0.290412	-4.0951	-0.3247	0.9558	-0.2941
-3.50112	-0.508303	0.525954	-0.735946	-3.19975	-0.478989	-3.308	-0.4557	0.9989	-0.0471
-2.81793	-0.241272	0.740553	0.816237	-2.51686	-0.30525	-2.5131	-0.3868	0.9792	0.2028
-1.95262	-0.224792	1.08058	-0.45691	-1.75074	-0.127842	-1.7603	-0.1225	0.898	0.4399
-1.53091	0.256336	-0.589631	1.05377	-0.867956	0.246573	-1.0968	0.3208	0.7604	0.6494
-0.870576	1.81606	1.53733	2.86457	-0.690745	1.11733	-0.5645	0.9152	0.575	0.8181
-0.719347	2.59887	-0.802973	0.6754	-0.268337	1.80597	-0.1967	1.6233	0.3535	0.9354
0.141657	3.22607	1.77738	1.88067	0.0184647	2.36833	-0.0165	2.4006	0.1098	0.994
-0.271798	3.94141	-1.3213	2.00392	0.0325922	2.78641	0.0212	3.1991	0.1098	0.994
0.702605	4.83853	2.43639	1.44652	0.367732	4.09793	0.2135	3.9735	0.3535	0.9354
0.768403	5.19964	-0.121007	1.23607	0.85387	4.30514	0.5924	4.6757	0.575	0.8181
1.54008	5.64414	1.43908	0.668973	1.4259	5.38181	1.134	5.2616	0.7604	0.6494
1.72554	6.29004	-0.347839	0.961235	1.7071	6.18514	1.8044	5.6944	0.898	0.4399
2.40591	6.33674	1.35437	0.169666	2.2294	5.98827	2.5613	5.947	0.9792	0.2028
3.38505	6.20768	1.13739	-0.441767	3.37612	6.18882	3.3572	6.0033	0.9989	-0.0471
4.0401	6.09669	0.82656	0.189511	3.96528	6.01162	4.1421	5.86	0.9558	-0.2941
4.56878	5.67151	0.612277	-0.778653	4.42217	5.51012	4.8667	5.5259	0.8526	-0.5225
5.54824	5.09015	1.47869	-0.649704	5.63034	5.13069	5.4855	5.0221	0.6959	-0.7181
6.3836	4.46096	0.821035	-0.9143	6.32152	4.41635	5.9595	4.3803	0.4954	-0.8686
6.46048	3.59555	0.120433	-1.04787	6.1351	3.41724	6.2591	3.6408	0.2639	-0.9646
6.49486	2.9355	-0.330445	-0.849473	6.66767	3.01366	6.3653	2.85	0.0157	-0.9999
6.20778	2.0829	-0.474381	-1.19922	6.23425	2.08951	6.2715	2.0576	-0.2335	-0.9724
5.64777	1.32498	-0.657329	-0.836756	5.53932	1.29992	5.9836	1.3135	-0.4679	-0.8838
5.19851	0.722688	-0.522806	-0.7119	5.22743	0.728132	5.5197	0.6643	-0.673	-0.7396
4.66514	0.232076	-0.624568	-0.567561	4.57464	0.227547	4.9089	0.1509	-0.8358	-0.549
4.01383	-0.194733	-0.956956	-0.515239	3.99378	-0.194251	4.1896	-0.1945	-0.9461	-0.3239
3.25559	-0.442056	-1.21335	-0.121082	3.39043	-0.461545	3.4071	-0.3502	-0.9969	-0.0785
2.61779	-0.334998	-0.672882	0.327771	2.73841	-0.314371	2.6104	-0.3064	-0.9851	0.1719
2.0789	0.0534576	-0.642359	0.596023	2.05562	0.0530467	1.8496	-0.0658	-0.9114	0.4115
1.43519	0.399095	-0.80828	0.354353	1.34946	0.382788	1.1726	0.3565	-0.7804	0.6252
0.779869	1.0192	-0.788256	1.12257	0.715663	1.029	0.6218	0.9338	-0.6004	0.7997
0.195021	1.53811	-0.605698	0.684282	0.149893	1.26767	0.2319	1.63	-0.3827	0.9239
0.0224456	2.41854	0.151069	0.928669	0.0822576	2.68764	0.0274	2.4012	-0.1409	0.99
